symbol,kind,category,baseline_source,current_candidate,current_candidate_reference_only,decision,verification
$pink-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-pink-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$indigo-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-indigo-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$purple-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-purple-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$deep-purple-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-deep-purple-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$blue-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-blue-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$light-blue-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-light-blue-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$cyan-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-cyan-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$teal-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-teal-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$green-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-green-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$light-green-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-light-green-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$lime-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-lime-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$yellow-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-yellow-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$amber-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-amber-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$orange-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-orange-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$deep-orange-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-deep-orange-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$brown-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-brown-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$grey-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-grey-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$gray-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-gray-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$blue-grey-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-blue-grey-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$blue-gray-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-blue-gray-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$light-theme-background-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-light-theme-background-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$dark-theme-background-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-dark-theme-background-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$light-theme-foreground-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-light-theme-foreground-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$dark-theme-foreground-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-dark-theme-foreground-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
define-typography-level,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-define-typography-level,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
define-rem-typography-config,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-define-rem-typography-config,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
define-typography-config,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-define-typography-config,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
define-legacy-typography-config,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-define-legacy-typography-config,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
typography-level,mixin,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-typography-level,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
font-size,function,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-font-size,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
line-height,function,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-line-height,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
font-weight,function,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-font-weight,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
letter-spacing,function,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-letter-spacing,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
font-family,function,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-font-family,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
font-shorthand,mixin,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:font-shorthand,,Do not infer compatibility solely from same name.,proposed-disposition; historical named export inspected; compile/API parity pending
typography-hierarchy,mixin,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Preserve historical 2014/2018 hierarchy conventions; current unprefixed hierarchy may differ.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-typography-hierarchy,mixin,owned-typography-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Preserve historical 2014/2018 hierarchy conventions; current unprefixed hierarchy may differ.,proposed-disposition; historical named export inspected; compile/API parity pending
m2-tokens-from-theme,function,review-specialized-helper,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,"Historically root-exported token helper. Inventory its actual contract; own compatible translation or a precise unsupported diagnostic, not a current private import.",proposed-disposition; historical named export inspected; compile/API parity pending
core,mixin,owned-structural-coordinator,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Retain core responsibilities; review current CDK structural output separately. Never forward the current no-op.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-core,mixin,owned-structural-coordinator,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Retain core responsibilities; review current CDK structural output separately. Never forward the current no-op.,proposed-disposition; historical named export inspected; compile/API parity pending
ripple,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:ripple,,"Test old argument behavior and resulting cascade. Conditional public delegation, not assumed exact.",proposed-disposition; historical named export inspected; compile/API parity pending
strong-focus-indicators,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:strong-focus-indicators,,"Test old argument behavior and resulting cascade. Conditional public delegation, not assumed exact.",proposed-disposition; historical named export inspected; compile/API parity pending
elevation,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:elevation,,"Test old argument behavior and resulting cascade. Conditional public delegation, not assumed exact.",proposed-disposition; historical named export inspected; compile/API parity pending
overridable-elevation,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:overridable-elevation,,"Test old argument behavior and resulting cascade. Conditional public delegation, not assumed exact.",proposed-disposition; historical named export inspected; compile/API parity pending
elevation-transition,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:elevation-transition,,"Test old argument behavior and resulting cascade. Conditional public delegation, not assumed exact.",proposed-disposition; historical named export inspected; compile/API parity pending
all-component-themes,mixin,explicit-current-aggregate-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Preserve baseline membership deliberately; do not bind to a changing wildcard upstream aggregate. Output is current-component behavior and must be reported.,proposed-disposition; historical named export inspected; compile/API parity pending
all-component-colors,mixin,explicit-current-aggregate-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Preserve baseline membership deliberately; do not bind to a changing wildcard upstream aggregate. Output is current-component behavior and must be reported.,proposed-disposition; historical named export inspected; compile/API parity pending
all-component-typographies,mixin,explicit-current-aggregate-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Preserve baseline membership deliberately; do not bind to a changing wildcard upstream aggregate. Output is current-component behavior and must be reported.,proposed-disposition; historical named export inspected; compile/API parity pending
all-component-densities,mixin,historically-exported-in-internal-section,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Unprefixed but listed under Private/Internal in the tag. Diagnose until explicitly admitted and tested; do not silently treat it as stable public.,proposed-disposition; historical named export inspected; compile/API parity pending
all-legacy-component-themes,mixin,owned-historical-aggregate,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Legacy-owned themes plus historical ordinary companion bridges; audit each aggregate membership independently.,proposed-disposition; historical named export inspected; compile/API parity pending
all-legacy-component-colors,mixin,owned-historical-aggregate,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Legacy-owned themes plus historical ordinary companion bridges; audit each aggregate membership independently.,proposed-disposition; historical named export inspected; compile/API parity pending
all-legacy-component-typographies,mixin,owned-historical-aggregate,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Legacy-owned themes plus historical ordinary companion bridges; audit each aggregate membership independently.,proposed-disposition; historical named export inspected; compile/API parity pending
core-color,mixin,shared-current-theme-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:core-color,,This is not legacy-core-theme. Current shared output is separately tested/reported.,proposed-disposition; historical named export inspected; compile/API parity pending
core-theme,mixin,shared-current-theme-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:core-theme,,This is not legacy-core-theme. Current shared output is separately tested/reported.,proposed-disposition; historical named export inspected; compile/API parity pending
core-typography,mixin,shared-current-theme-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:core-typography,,This is not legacy-core-theme. Current shared output is separately tested/reported.,proposed-disposition; historical named export inspected; compile/API parity pending
core-density,mixin,shared-current-theme-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:core-density,,This is not legacy-core-theme. Current shared output is separately tested/reported.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-core-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-core-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,,proposed-disposition; historical named export inspected; compile/API parity pending
ripple-color,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:ripple-color,,Test historical ripple variables/selectors against current runtime ripple.,proposed-disposition; historical named export inspected; compile/API parity pending
ripple-theme,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:ripple-theme,,Test historical ripple variables/selectors against current runtime ripple.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-option-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-option-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-option-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-optgroup-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-optgroup-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-optgroup-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,,proposed-disposition; historical named export inspected; compile/API parity pending
option-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:option-color,,Unprefixed option/optgroup belong to non-legacy implementations; never redirect to legacy renderer.,proposed-disposition; historical named export inspected; compile/API parity pending
option-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:option-typography,,Unprefixed option/optgroup belong to non-legacy implementations; never redirect to legacy renderer.,proposed-disposition; historical named export inspected; compile/API parity pending
option-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:option-theme,,Unprefixed option/optgroup belong to non-legacy implementations; never redirect to legacy renderer.,proposed-disposition; historical named export inspected; compile/API parity pending
option-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:option-density,,Unprefixed option/optgroup belong to non-legacy implementations; never redirect to legacy renderer.,proposed-disposition; historical named export inspected; compile/API parity pending
optgroup-color,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:optgroup-color,,Unprefixed option/optgroup belong to non-legacy implementations; never redirect to legacy renderer.,proposed-disposition; historical named export inspected; compile/API parity pending
optgroup-typography,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:optgroup-typography,,Unprefixed option/optgroup belong to non-legacy implementations; never redirect to legacy renderer.,proposed-disposition; historical named export inspected; compile/API parity pending
optgroup-theme,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:optgroup-theme,,Unprefixed option/optgroup belong to non-legacy implementations; never redirect to legacy renderer.,proposed-disposition; historical named export inspected; compile/API parity pending
optgroup-density,mixin,explicit-current-component-bridge,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:optgroup-density,,Unprefixed option/optgroup belong to non-legacy implementations; never redirect to legacy renderer.,proposed-disposition; historical named export inspected; compile/API parity pending
pseudo-checkbox-color,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:pseudo-checkbox-color,,Legacy pseudo-checkbox renderer/styles may require owned implementation. Prove selector/value behavior.,proposed-disposition; historical named export inspected; compile/API parity pending
pseudo-checkbox-typography,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:pseudo-checkbox-typography,,Legacy pseudo-checkbox renderer/styles may require owned implementation. Prove selector/value behavior.,proposed-disposition; historical named export inspected; compile/API parity pending
pseudo-checkbox-theme,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:pseudo-checkbox-theme,,Legacy pseudo-checkbox renderer/styles may require owned implementation. Prove selector/value behavior.,proposed-disposition; historical named export inspected; compile/API parity pending
pseudo-checkbox-legacy-size,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:pseudo-checkbox-legacy-size,,Legacy pseudo-checkbox renderer/styles may require owned implementation. Prove selector/value behavior.,proposed-disposition; historical named export inspected; compile/API parity pending
strong-focus-indicators-color,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:strong-focus-indicators-color,,Legacy pseudo-checkbox renderer/styles may require owned implementation. Prove selector/value behavior.,proposed-disposition; historical named export inspected; compile/API parity pending
strong-focus-indicators-theme,mixin,shared-style-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,@angular/material:strong-focus-indicators-theme,,Legacy pseudo-checkbox renderer/styles may require owned implementation. Prove selector/value behavior.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-autocomplete-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-autocomplete-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-autocomplete-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-button-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-button-color,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-button-typography,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
legacy-card-theme,mixin,owned-legacy-theme,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,No public density mixin invented for this legacy family.,proposed-disposition; historical named export inspected; compile/API parity pending
